May 4 Rankings,Islam Makhachev,Charles Oliveira,Dustin Poirier,Justin Gaethje,Beneil Dariush,Michael Chandler,Rafael Fiziev,Mateusz Gamrot,Arman Tsarukyan,Rafael Dos Anjos,Jalin Turner,Dan Hooker,Damir Ismagulov,Renato Moicano,Drew Dober,Grant Dawson
Islam Makhachev,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Charles Oliveira,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dustin Poirier,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Justin Gaethje,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Beneil Dariush,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Michael Chandler,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rafael Fiziev,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Mateusz Gamrot,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Arman Tsarukyan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rafael Dos Anjos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jalin Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Hooker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damir Ismagulov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renato Moicano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Dober,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
